job_title,company,location,job_url,source,scraped_date,experience_required,salary,job_description,skills_list
Product Manager,Info Edge,Bangalore,https://www.naukri.com/job-listings-product-manager-info-edge-india-ltd-bengaluru-3-to-6-years-100226010555,Naukri_Selenium,2026-02-11T03:25:48.732571,3-6 Yrs,Not Disclosed,"Job description
About Infoedge:
Info Edge’s mission is to create world-class platformsthat transform lives by continuously innovating. Ourproducts and services are built keeping our customers in mind. We always delight our customers  by delivering superior value through enhanced offerings on the internet and other platforms. Through  our continuous investment across various businesses, especially in cutting-edge technology, machine learningand artificial intelligence (AI), we have built a robust system that constantly increases our  predictive powers on customer behavior, and optimizes and improves our systems. Our various teams  tirelessly work together to solve problems, innovate, and create something to empower our  customers.
read more
Key Skills
innovationproduct strategyexecutionfunctionalproduct life cycle managementinvestmentproduct roadmaproadmapbusiness acumencustomer focusmatrixsalesmarketingproduct managementleadershipproduct developmentsupervisionmetricsconceptualizationbrand","['execution', 'investment', 'product development', 'conceptualization', 'leadership', 'marketing', 'supervision', 'business acumen', 'metrics', 'product strategy', 'brand', 'roadmap', 'product roadmap', 'customer focus', 'functional', 'product management', 'innovation', 'sales', 'matrix', 'product life cycle management']"
Product Manager,JPMorgan Chase Bank,Bangalore,https://www.naukri.com/job-listings-product-manager-jp-morgan-chase-bengaluru-8-to-15-years-310126501119,Naukri_Selenium,2026-02-11T03:25:48.782250,8-15 Yrs,Not Disclosed,"Job description
We have an exciting opportunity for you to shape the future of digital payments and advance your product leadership career with Zelle at Chase.
As a Product Manager in JPMorgan Chase within the Zelle team, you will lead cross-functional teams to deliver innovative and secure payment solutions. You will drive product strategy, collaborate with senior stakeholders, and influence the direction of our payments business to deliver meaningful value to our customers.
Job responsibilities
Develop and own the product strategy and vision for Zelle, aligning with business objectives and customer needs.
Lead and manage the product roadmap, ensuring prioritization and execution of initiatives that drive business growth and customer satisfaction.
Oversee and enhance the product backlog, facilitating development in alignment with strategic goals and value proposition.
Collaborate with product, analytics, business, and engineering leaders to define and execute product and design strategies.
Set clear priorities and define user stories in partnership with Product Managers, engineering leads, and executive leadership.
Provide guidance and mentorship to product associates and team members, fostering a culture of innovation and excellence.
Drive end-to-end execution of the product roadmap through effective sprint planning, stakeholder management, and continuous improvement.
Required qualifications, capabilities, and skills
Eight years of experience in product management, ficial services, technology, or related fields.
Demonstrated experience managing complex projects involving multiple stakeholders and technology platforms within the ficial domain.
Deep understanding of development processes, database architecture, and microservices such as Kafka and APIs.
Strong ability to bridge business and technical teams, translating strategic objectives into actionable product plans.
Expertise in Agile project management, including proficiency with tools such as JIRA Align, JIRA, and Confluence.
Exceptional leadership, communication, and stakeholder management skills, with the ability to influence and drive alignment at all levels.
Proven track record of delivering user-centric, intuitive, and innovative product experiences.
Preferred qualifications, capabilities, and skills
Background in ficial services, retail banking, or payments.
Experience with digital payments, peer-to-peer payment platforms, or related technologies.
Strategic thinker with a self-starter mindset, focused on problem-solving and continuous improvement.
Experience providing updates and recommendations in senior leadership forums.

Role: Product Manager
Industry Type: Financial Services
Department: Product Management
Employment Type: Full Time, Permanent
Role Category: Product Management - Technology
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
Product managementDatabase architectureagile project managementRetail bankingJIRAStakeholder managementContinuous improvementAnalyticsFinancial servicesProduct strategy","['JIRA', 'Product strategy', 'Analytics', 'Financial services', 'Stakeholder management', 'Retail banking', 'agile project management', 'Product management', 'Continuous improvement', 'Database architecture']"
Product Manager,IBM,Bangalore,https://www.naukri.com/job-listings-product-manager-ibm-india-pvt-limited-bengaluru-5-to-9-years-030226931213,Naukri_Selenium,2026-02-11T03:25:48.827809,5-9 Yrs,Not Disclosed,"Job description
Role Overview
We are looking for a Senior Product Manager AI to drive discovery and delivery of AI-driven capabilities across our iPaaS platform. This is a senior, high-impact role focused on navigating a complex product portfolio, aligning a wide range of stakeholders, and translating AI opportunities into scalable, enterprise-ready platform capabilities.
The role is based in Bangalore, India, and requires close coordination with globally distributed product, engineering, platform, go-to-market, security, and leadership teams across Europe, North America, and APAC.









read more
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
product manager
uxcustomer successaiuser experienceenterprise integrationsalesmarketingtradeoperationsproduct managementintegration platformsapisuse casesstakeholder managementcomplianceobservabilityarchitecture","['product manager', 'apis', 'compliance', 'enterprise integration', 'product management', 'architecture', 'sales', 'user experience', 'trade', 'integration platforms', 'stakeholder management', 'use cases', 'observability', 'customer success', 'marketing', 'operations']"
Product Manager,Soul Ai,Bangalore,https://www.naukri.com/job-listings-product-manager-soul-ai-mumbai-delhi-ncr-bengaluru-5-to-9-years-290126932350,Naukri_Selenium,2026-02-11T03:25:48.872915,5-9 Yrs,Not Disclosed,"Job description
Who you are & how you can contribute?

We are looking for highly skilled and detail-oriented Product Manager with exceptional abilities in reasoning, critical thinking, and problem-solving

If this describes you, we are excited to offer you an incredible opportunity to work remotely as a freelancer

Join us in contributing to the creation of data that powers the training of advanced AI models

Role & Responsibilities:

Help in the training of an AI assistant model to enhance its accuracy and performance

Evaluate the model's responses across multiple dimensions to ensure quality and relevance

Maintain high standards of speed and precision while assessing the model's responses

Must Required Traits:

Strong attention to detail

Ability to carefully follow instructions

Excellent proficiency in English

Flexible hours

Remote opportunity

Location- Delhi NCR,Bengaluru,Chennai,Pune,Kolkata,Ahmedabad,Mumbai,Hyderabad
Role: Product Manager - Pharma
Industry Type: BPM / BPO
Department: Product Management
Employment Type: Full Time, Permanent
Role Category: Product Management - Other
Education
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Doctorate Not Required
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
Product management
product strategyproduct designproject managementproduct planning","['product planning', 'product strategy', 'project management', 'product design', 'Product management']"
Product Manager,Amazon,Bangalore,https://www.naukri.com/job-listings-product-manager-amazon-development-centre-india-pvt-ltd-bengaluru-3-to-8-years-100226502952,Naukri_Selenium,2026-02-11T03:25:48.910932,3-8 Yrs,Not Disclosed,"Job description
We are looking for an experienced Product Manager who will drive strategic initiatives and product launches across multiple merchant categories. This role requires a product leader with strong cross-functional collaboration skills who can work effectively with internal Amazon teams and external merchant partners to deliver innovative payment solutions.


Product Strategy & Vision
1) Define and own the product roadmap for merchant categories, identifying opportunities to expand Amazon Pays footprint across diverse verticals
2) Develop category-specific strategies that balance customer needs, customer experience, and business objectives
3) Conduct market analysis and competitive research to identify white space opportunities and inform product decisions

Cross-Functional Leadership
1) Drive joint initiatives and launches between multiple internal teams at Amazon (Tech, Payments, Business Development, Marketing, Operations) and external merchant partners
2) Build and maintain strong relationships with merchant partners, understanding their business models, customer pain points, and requirements
3) Collaborate with Business Development teams to structure partnership agreements that align product capabilities with commercial terms

Product Development & Execution
1) Write detailed product requirements documents (PRDs), PR/FAQs, and business cases for new features and integrations
2) Work closely with engineering teams to define technical specifications, prioritize features, and ensure timely delivery
3) Own end-to-end product lifecycle from ideation through launch, adoption, and iteration
4) Define success metrics and establish mechanisms to track product performance and merchant satisfaction

Stakeholder Management
1) Serve as the primary product point of contact for merchant partners, addressing escalations and ensuring smooth operations
2) Present product strategy and performance updates to senior leadership
3) Influence and align diverse stakeholders across business, technology, operations, and compliance teams
4) Navigate complex trade-offs between competing priorities and stakeholder needs

Customer & Merchant Obsession
1) Deeply understand customer payment preferences
2) Use data, customer feedback, and merchant insights to drive continuous product improvements
3) Ensure payment solutions deliver value to both customers and merchants while maintaining operational excellence 3+ years of product management experience
Experience managing technical products or online services
Experience in product, program, or project management in leading cross-functional teams in delivery of major new products or services
Experience in balancing conflicting priorities dealing with ambiguity Knowledge of SQL and VBA at an advanced level
Experience building and analyzing cost/benefit scenarios and business cases and communicating results throughout the organization
read more
Key Skills
Product managementMarket analysisOperational excellenceProject managementMarketing operationsCustomer experienceStakeholder managementFinancial servicesTechnology operationsSQL","['Technology operations', 'Market analysis', 'Marketing operations', 'Operational excellence', 'Customer experience', 'Financial services', 'Stakeholder management', 'SQL', 'Product management', 'Project management']"
Product Manager,Moveinsync Technology Solutions,Bangalore,https://www.naukri.com/job-listings-product-manager-moveinsync-technology-solutions-bengaluru-2-to-4-years-090226001024,Naukri_Selenium,2026-02-11T03:25:48.976749,2-4 Yrs,Not Disclosed,"Job description
Company Overview:
MoveInSync is a pioneer and market leader in workforce mobility solutions that optimize employee transportation and commute experiences. MoveInSync empowers organizations to enhance employee satisfaction, streamline operations, and reduce transportation costs through the SaaS offerings clubbed under the umbrella MoveInSync ION.
The MoveInSync One platform is an all encompassing offering that vertically integrates all operations of employee commute. MoveInSync One is the high growth business for MoveInSync. It also presents opportunities for MoveInSync to cross-utilize and optimize for scale that wouldnt have been possible at an individual corporate level.
Billing PM/APM – Roles & Responsibilities
Own the Billing domain end-to-end across SaaS and ONE Operations with full accountability for accuracy, trust, and scalability
Define and evolve the Billing product vision, simplifying complex finance and ops workflows into intuitive, reliable product experiences
Work hands-on with Customer Success, Sales, and Engineering to convert real-world billing nuances points into productized solutions
Write clear PRDs and user stories by thinking like the customer, ensuring features solve real problems and work smoothly in day-to-day usage
Own billing data, reports, and dashboards; ensure stakeholders have clear visibility into revenue, costs, and discrepancies
Apply quantitative and analytical thinking to to develop billing solutions & Reports
Enable internal teams through clear release communication, training, and documentation
Continuously improve billing flows to reduce manual ops, disputes, and turnaround time at scale
Work closely with customers to understand their billing needs and recommend billing methodologies aligned with best industry practices
Qualifications:
Bachelor's degree in Computer Science, Engineering, or a related field
1–3 years of hands-on experience in Analytics or Product Management
Exceptional communication and presentation skills including verbal and written.
Analytical mindset, with the ability to assess complex business processes, and identify problems, and areas of improvement.
Strong problem-solving capabilities and a proactive approach to addressing client needs
Expertise in Operational Analytics / Reporting Analytics with clear focus on Business Outcomes
Business sense to identify and prioritize opportunities
Additional Information:
This is a full-time work from office role based at our Bengaluru, HSR Layout office.

Note: We encourage Analytics professionals with experience in Operational or Product Analytics who are interested in transitioning into Product Management to apply — we understand imposter syndrome can be real, but your analytical expertise is a strong foundation for building impactful products.
Role: Product Manager
Industry Type: Software Product
Department: Product Management
Employment Type: Full Time, Permanent
Role Category: Product Management - Technology
Education
PG: MBA/PGDM in Any Specialization
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
operation transformationBillingRevenue ManagementBusiness OperationsInvoicing","['Invoicing', 'Revenue Management', 'operation transformation', 'Business Operations', 'Billing']"
Product Manager,Infoblox,Bangalore,https://www.naukri.com/job-listings-product-manager-snaproute-bengaluru-2-to-7-years-100226503729,Naukri_Selenium,2026-02-11T03:25:49.024696,2-7 Yrs,Not Disclosed,"Job description
Be a Contributor What You ll Do
Shape the future for Infoblox by defining product strategy and roadmap for your product with an eye on how the market needs to evolve
Ensure successful execution of your product vision by working hand - in - hand with talented counterparts in engineering
Drive meaningful adoption of your product by collaborating with Product Marketing on sales and marketing materials
Understand how your product needs interact with other elements of our product portfolio to drive the success of our overarching vision
Be Prepared What You Bring
2+ years of related product management experience
Graduate of a Bachelor s or Masters degree in Software Engineering, Data Science, Computer Science, or Electrical Engineering
Experience with cloud-management of on-prem deployed infrastructure is a plus
Familiarity of network services protocols (DNS, DHCP, NTP, BGP, OSPF) is a plus
Experience with different virtualization environments including Nutanix, OpenShift, VMware, Hyper-V, KVM and OpenStack is desired
Exemplify strong initiative and ability to work independently with limited direction
Strong ability to actively listen to customers, identify root problems, approach solutions through data driven decision making or ability to create solutions around imperfect data
Ability to partner with cross - functional teams such as engineering, marketing, UX and more through the entire product lifecycle
Exceptional written and verbal communication skills
Strong passion to take ownership of full product experience
Drive to design something new, innovative, and disruptive
Deliver product initiatives while exemplifying our company values
Role: Product Manager - Other
Industry Type: TV / Radio
Department: Product Management
Employment Type: Full Time, Permanent
Role Category: Product Management - Other
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
Computer scienceProduct managementVMwareAutomationAssuranceNetworkingDNSNetwork securityVirtualizationDHCP","['DHCP', 'Networking', 'Assurance', 'Computer science', 'DNS', 'Network security', 'Automation', 'VMware', 'Virtualization', 'Product management']"
Product Manager,Merkle B2b,Bangalore,https://www.naukri.com/job-listings-product-manager-merkle-inc-new-delhi-bengaluru-2-to-6-years-050226500035,Naukri_Selenium,2026-02-11T03:25:49.068884,2-6 Yrs,Not Disclosed,"Job description
Job Description:
Job Description Product Manager
About the product:
Todays digitally fluent customers interact with brands through multiple touchpoints. To ensure a consistent and high-quality experience, brands need to track their digital performance across various metrics. This becomes challenging for global brands operating in multiple markets and catering to diverse languages and customer expectations. This requires a scalable, global solution.
Merkles Digital Shelf Analytics is an award-winning, AI-powered solution built on cutting-edge technology that enables brands uncover opportunities to gain edge over competition. This helps brands improve sales, increase market share, and allocate trade funds smartly.
50+ global brands trust Merkle s Digital Shelf Analytics to improve their performance across 500 channels in over 40 languages.
About the role:
As a Product Manager, you will be responsible for driving the development and execution of product strategies within the organization. Your primary focus will be on delivering a high-quality product that meets customer needs, drives business growth, and maintains a competitive edge in the market. You will collaborate with cross-functional teams, including engineering, architecture, sales, marketing and operations to deliver innovative and customer-centric solutions.
Key Responsibilities:
Product Development and Execution:
Work closely with engineering / architecture teams to translate product requirements into clear specifications and user stories
Drive the agile development process, including sprint planning, backlog grooming, and feature prioritization
Collaborate with cross-functional teams to ensure timely delivery of high-quality features and product releases
Conduct user acceptance testing and gather feedback to iterate and improve the product
Customer Focus and Market Analysis:
Develop a deep understanding of the target market and customer segments
Conduct customer research, interviews, and surveys to identify pain points, gather feedback, and validate product ideas
Analyse user behaviour, metrics, and data to identify areas for improvement and drive data-informed decision-making
Stay updated on industry trends, emerging technologies, and competitive landscape to maintain a competitive edge
Product Launch, Strategy and Roadmap:
Coordinate product launches, including release notes, documentation, and training materials
Monitor product performance and user adoption post-launch, making necessary adjustments to ensure success
Conduct market research, competitor analysis, and customer interviews to identify market trends, customer needs, and opportunities for product differentiation
Contribute to the product roadmap, prioritize features, and communicate the stakeholders
Stakeholder Management and Communication:
Act as a point of contact for product-related inquiries and communication
Collaborate with internal stakeholders, including executives, engineering, design, marketing, and sales teams, to align product objectives and priorities
Conduct regular status updates, product presentations, and performance reports to executive leadership and relevant teams
Solicit feedback from stakeholders and incorporate it into the product roadmap and development process
Will be an advantage:
Experience in digital technologies, retail / CPG domain and SaaS platforms
Experience with user experience (UX) principles, user research, and usability testing
Knowledge of marketing strategies, competitive analysis, and pricing models for SaaS products
Location:
DGS India - Bengaluru - Manyata N1 Block
Brand:
Merkle
Time Type:
Full time
Contract Type:
Permanent
Role: Product Manager - Pharma
Industry Type: Management Consulting
Department: Product Management
Employment Type: Full Time, Permanent
Role Category: Product Management - Other
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
Product launchMarket analysisCompetitive analysisMarket researchEngineering DesignStakeholder managementCateringUser acceptance testingAnalytics","['Analytics', 'Catering', 'Stakeholder management', 'Engineering Design', 'Market research', 'User acceptance testing', 'Market analysis', 'Competitive analysis', 'Product launch']"
Product Manager,Gushwork,Bangalore,https://www.naukri.com/job-listings-product-manager-gushwork-bengaluru-6-to-11-years-090226504477,Naukri_Selenium,2026-02-11T03:25:49.109347,6-11 Yrs,Not Disclosed,"Job description
About Us:

Backed by Lightspeed, B Capital & Beenext (Raised over $11M), Gushwork drives inbound leads for small and medium businesses from AI search engines like Gemini and ChatGPT with a swarm of AI agents designed to growth the visibility of any website with content.
We are backed by some of the top tier VCs of the world and are one of the fastest growing AI companies being built out of India for the world. We work with over 200+ customers and building a team to 10x this in the next 12 months. We are a team of 60 hungry, ambitious & hard working individuals and are adding more people to the team who share our desire to leave a lasting impact on humanity.
What You ll Do
Drive Cross-Functional Performance: Act as the ""Product CEO"" for your domain; proactively hunting for friction in the user journey and engineering the connective tissue between Product, Sales, and Success.
Architect Agentic Systems: Design and deploy autonomous AI workflows (n8n, APIs, LLMs) that move beyond linear logic to automate reasoning-based tasks across Sales and Support.
Ship High-Fidelity Prototypes: Rapidly build and own internal tools or ""makeshift"" features using no-code stacks (Retool, Lovable) to unblock GTM teams and validate ideas before Engineering commits code.
Operationalize Product Intelligence: Bridge the gap between raw data and strategy by using SQL and LLMs to synthesize unstructured feedback into high-signal roadmap priorities.
Command Full-Cycle Rollouts: Own the ""last mile"" from technical QA and automated migrations to the enablement of CS and Sales ensuring every feature is commercially and operationally ready.
What we re looking for:
Required (Must-Have)

4 6+ years of experience in Product Management, Product Ops, or Growth at a fast-growing B2B SaaS company.
Basic AI Native Literacy: Beyond ""chatting"" with AI. Proven ability to design structured, version-controlled prompts (XML/Markdown tagging) for production use in internal tools or customer-facing features.
Strategic Analytical Skills: Advanced proficiency in SQL and data visualization (Tableau, Looker, or PostHog). You should be comfortable performing cohort analysis and funnel modeling independently.
Automation Expertise: Deep experience with n8n or Zapier, including handling webhooks, API authentication, and error mapping.
Full-Cycle Ownership: Experience taking a product or major feature from initial concept through to post-launch optimization.
The ""Startup Mindset"": You thrive in ambiguity and are a ""builder"" by nature. You d rather ship an 80% solution today than a 100% solution in three months.
Technical Background: Ability to read/write basic JavaScript or Python for API debugging and custom logic within no-code tools.

Good to have

Non-Deterministic QA: In an LLM world, features dont just ""work"" or ""break"" they hallucinate. You must have experience building
Eval frameworks (using tools like Braintrust, LangSmith, or custom spreadsheets) to measure the accuracy, tone, and reliability of AI-generated outputs.
Cost & Latency Management: Ability to make trade-offs between model power (e.g., GPT-4o) and efficiency (e.g., GPT-4o-mini/Claude Haiku) based on the business value of the use case.
Agentic Frameworks: Hands-on experience or deep familiarity with orchestrating LLM agents (e.g., using LangChain, CrewAI, or n8n s AI nodes) to perform multi-step, non-linear tasks.
What you ll get:
Competitive base salary + performance-based bonus.
Meaningful equity you ll be an early partner in our growth.
Work directly with both the founders. No layers at all at this point.
Access to all the tools, software, and resources (analytics, content, experiments, design, etc.)Budget for professional development courses, books, conferences.
Health benefits, flexible time off, wellness programs.A fast-moving, high-autonomy environment where your voice is heard.
We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us.
Role: Technical Product Manager
Industry Type: IT Services & Consulting
Department: Product Management
Employment Type: Full Time, Permanent
Role Category: Product Management - Technology
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
Product managementAutomationXMLArtificial IntelligenceDebuggingJavascriptAnalyticsSQLPythonRecruitment","['Javascript', 'Artificial Intelligence', 'Python', 'Debugging', 'Automation', 'Analytics', 'SQL', 'Product management', 'Recruitment', 'XML']"
Product Manager,Moss Adams,Bangalore,https://www.naukri.com/job-listings-product-manager-moss-adams-bengaluru-8-to-10-years-070226014327,Naukri_Selenium,2026-02-11T03:25:49.146465,8-10 Yrs,Not Disclosed,"Job description
Role & responsibilities:
Define and maintain the product vision, strategy, and multi-year roadmap for data, AI, and automation platform
Align product direction with enterprise data, analytics, AI, and automation strategies
Identify opportunities to leverage generative AI, advanced analytics, and automation to improve decision-making, productivity, and operational efficiency
Build strong relationships with business leaders, data consumers, analysts, and automation users
Develop a deep understanding of business processes, analytics needs, and AI use cases
Facilitate stakeholder alignment through data-driven insights, product analytics, and clear communication
Translate product strategy into clear requirements, backlogs, and release plans
Partner with engineering, data, architecture, security, and vendors to deliver solutions end-to-end.
Own the lifecycle management of platforms such as BI tools, data platforms, AI assistants, and automation solution
Drive adoption, value realization and continuous improvement using usage metrics and feedback
Balance innovation with platform stability, governance, and compliance requirements
Lead and mentor product team members, IT resources, and external partner
Foster a collaborative, inclusive, and high-performing team culture
Hold teams accountable for outcomes, delivery quality, and timelines

Qualifications:
Bachelors degree or equivalent experience
8 years of product management or related experience in a complex organization
Proven experience managing enterprise technology products, preferably in data, analytics, AI, or automation
Proven track record delivering custom analytics/AI/automation solutions from discovery to launch
Strong understanding of product management practices across the full lifecycle
Experience working with Agile delivery models (Scrum, Kanban, Lean, etc.)
Excellent communication, presentation, and stakeholder management skills
Demonstrated ability to lead cross-functional teams and influence without authority
Role: Data Science & Analytics - Other
Industry Type: IT Services & Consulting
Department: Data Science & Analytics
Employment Type: Full Time, Permanent
Role Category: Data Science & Analytics - Other
Education
UG: Any Graduate
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
Product Management
AutomationPower BiArtificial IntelligenceAlteryxDatabricksTableauTechnical product managerData Platform","['Data Platform', 'Artificial Intelligence', 'Tableau', 'Databricks', 'Power Bi', 'Technical product manager', 'Automation', 'Product Management', 'Alteryx']"
